user_identifier,total_purchase,total_rake
10097,100,88
10972,100,31.39
83634,100,57
90513,25,0
107849,25,4.08
137467,30,5.5
158559,50,6.23
204490,150,144.5
378528,100,34.19
426756,25,47.66
457376,100,7.33
500738,25,1.72
617682,25,4
632843,100,1.5
639877,500,120.3
654975,50,132.52
664516,400,54
747004,50,36.33
781655,100,4
837238,100,23.23
850591,50,15.33
857638,200,30.67
883170,100,10.41
896682,50,6.68
950037,500,66.5
956193,50,33.5
959752,50,107.9
1000148,200,186.16
1051022,50,7.5
1071606,100,18.31
1126622,100,13.82
1149120,26,8.4
1149771,100,17.92
1229420,598,276.67
1253776,110,23.69
1299323,100,22.21
1306095,50,1.37
1324465,500,137.39
1373179,100,10
1449231,100,16.43
1449663,50,52
1571089,50,9.48
1675701,240,112.48
1755512,50,12.22
1760932,25,4.38
1821757,200,11.33
1836685,25,27.9
1842631,25,7.03
1859072,30,0.35
1863976,50,8
1893741,682,883.48
1913998,50,10.12
1968850,550,112
1969805,100,40
2038269,100,4
2158072,26,8.76
2161243,200,42
2210495,50,8
2240342,25,9.5
2247327,225,121
2252706,25,10.5
2271135,50,21.68
2317165,100,13.55
2330627,50,5.97
2375031,25,9.06
2410121,25,12.38
2449204,25,5.26
2468697,100,8.04
2549830,50,0
2567239,200,33.14
2618148,120,21.82
2632665,100,9
2638941,25,2.15
2661967,100,13.31
2663564,50,5.07
2675996,50,8.06
2694509,50,9.09
2810276,225,51
2901268,50,10
3006896,100,8.6
3034603,1350,645.56
3046869,50,7.18
3050135,75,19.41
3061138,50,11.17
3170925,100,15.3
3210949,50,20.39
3213906,100,22.93
3223887,100,26.45
3229290,50,13.75
3312785,100,18.79
3321074,50,151
3329321,100,44
3339593,50,9
3515677,50,20.66
3592015,50,35.31
3598545,150,168.33
3603193,100,52.94
3605145,50,45.38
3732616,135,43.44
3818573,25,12
3844055,50,8
3847312,30,4.64
3926698,25,4.36
3934590,25,99.25
3934797,50,13.46
3934990,25,4
4066911,50,8.27
4073506,50,8.5
4077940,100,89.57
4120153,100,36.65
4172569,50,1.96
4203078,25,3.33
4212469,100,18
4338908,500,65
4381827,25,4.3
4424631,50,2.25
4425314,100,214.75
4426728,100,16
4457407,100,82.52
4600416,200,33.29
4667576,50,36.44
4676428,250,42.5
4760551,50,5.21
4804164,100,6.92
4819571,50,3.53
4830390,2000,34
4833326,50,4.5
4923839,50,18.28
4976903,50,2.41
4990349,50,8
4997411,50,21.57
5008855,50,26.9
5053219,100,16
5060091,100,4
5157237,500,75
5168707,100,89.81
5175947,25,48.93
5192390,100,162.79
5201418,25,11.32
5303869,100,27.09
5311852,9700,1938.26
5320805,150,51.05
5434148,50,32
5458002,33,7.8
5564768,50,4.97
5619635,100,67.74
5653710,50,8
5669077,50,3
5672000,260,46.25
5679039,50,0
5731856,100,9.29
5735558,200,41.13
5742404,300,85.08
5747542,25,5.25
5753571,25,11.44
5760336,100,35.75
5795107,50,7.33
5809461,100,22.9
5810629,50,22.17
5823126,50,13.17
5826041,500,136.46
5868730,50,17.06
5896392,100,10.85
5956550,200,101
5992127,25,65.25
6005017,100,15
6025301,100,7.3
6157170,75,13.27
6212178,100,2.25
6239486,100,8.98
6284193,100,11.25
6298014,30,9.62
6321257,25,6.67
6340131,100,0.69
6371192,150,0
6372974,100,52.59
6387173,100,6.09
6409004,50,8
6420967,100,18.48
6463582,25,1.37
6488085,100,32.83
6503416,50,17.5
6517100,100,45
6521904,30,2.74
6528394,25,6.67
6570434,50,4.54
6599027,50,8
6672595,50,12.5
6677103,50,6.37
6702181,100,7.8
6787186,100,33
6807871,50,18.27
6826922,25,18
6888798,100,25.42
6891204,25,6.67
6926569,100,54.67
6978115,25,9.57
6985191,100,8
7019300,100,14.56
7045369,75,36
7054813,50,4.78
7058551,50,5.89
7124306,100,46
7220345,25,4.5
7247057,100,32.92
7305556,100,17.18
7352826,100,100
7365608,100,13.12
7394243,50,31.32
7396636,100,58.46
7496279,100,49.34
7514557,1000,260.5
7566732,25,0
7613448,50,8
7632878,50,8
7633318,50,1.5
7665640,50,6.36
7676124,25,4
7703019,100,16
7706598,40,21.33
7718718,100,20.57
7746724,25,5.25
7779486,100,17.57
7781375,25,4.12
7860951,75,11.64
7873477,50,8
7907363,500,116.65
7955663,55,16.18
7959338,100,8.4
8022018,50,66.98
8029277,50,8
8043939,50,10.51
8135721,50,13.45
8242396,25,24.18
8251668,50,2.12
8253124,50,18.12
8289058,3000,2640
8325127,25,2.83
8340942,100,15
8385972,100,24.39
8389261,50,2.94
8429198,800,140
8455818,100,60.14
8492530,50,8.94
8535204,50,4
8581949,125,41.04
8641960,50,6.76
8740620,100,10.16
8780203,50,5.07
8817695,50,8
8833978,500,138.01
8860527,100,11.26
8928212,100,25.75
8932084,100,0
8941552,50,0
8941646,25,4.5
9015226,50,2.16
9045064,50,8.38
9049155,100,15.66
9059199,50,11.32
9087870,50,0
9108503,25,7.83
9117521,250,30
9141713,100,12.51
9169725,500,41.26
9253797,100,1.76
9329023,100,82
9386523,150,57.5
9392943,50,8
9397152,50,16
9399101,500,210.32
9413110,100,9.82
9519813,50,10.89
9531405,100,23.29
9559715,50,1.5
9567865,100,122.58
9583739,36,11.39
9584618,25,1.72
9678705,50,4.5
9742021,50,0
9758366,50,1.71
9758410,50,8.38
9775234,100,43.5
9794541,50,3.05
9837580,50,12.01
9843511,150,24.9
9851858,500,348.23
9857850,250,0.67
9870715,252,63.03
9911492,1000,726
9925266,100,4
