user_identifier,total_purchase,total_rake,total_rake_apd,total_games
13096,100,48.39,2,22
68382,50,7.5,1,2
99829,100,57,1,4
108040,25,0,0,2
128732,25,4.08,1,3
244086,250,412.5,2,53
279664,500,60,1,2
413882,480,141.52,1,88
437430,100,29.13,1,2
579810,75,0,0,4
737287,25,4,1,1
739789,100,16.5,1,2
755384,100,20.43,2,13
793190,500,104.5,2,44
823447,25,4,1,1
853418,100,33.44,1,68
891650,50,83.42,2,58
933011,100,21.4,2,5
1015295,50,15.33,1,19
1023707,200,37.33,2,15
1070311,50,6.68,1,14
1071366,100,86,1,20
1089673,300,225,1,16
1133997,500,66.5,1,2
1187057,100,18.4,1,17
1254536,50,7.5,1,2
1262477,25,1.89,1,6
1264162,25,9.5,1,3
1279106,100,18.31,1,13
1313536,25,29.28,1,53
1371630,56,10.06,2,10
1372407,100,17.92,1,7
1563805,50,8,1,1
1580927,2500,240.39,2,25
1587251,50,18.82,1,13
1636936,200,21.79,1,15
1639074,100,166.67,2,18
1681312,100,57.15,1,45
1684745,50,6.89,1,6
1730368,50,59,2,21
1875306,100,65.4,2,74
2101910,25,4.38,1,2
2174512,200,41.82,2,16
2199428,25,7.03,1,3
2210262,50,6.43,1,22
2219053,30,0.35,1,2
2284615,50,16.97,2,12
2406274,100,96.78,1,132
2430553,50,8.78,1,11
2432949,100,4,1,1
2477709,95,13.33,1,8
2579735,225,106.81,2,19
2615678,100,25,1,15
2652885,25,130.67,1,27
2706715,25,4,1,1
2710906,50,21.68,1,15
2765849,100,19.37,2,35
2781918,188,179.52,2,308
2834920,25,9.06,1,23
2876804,25,21.72,2,15
2946723,100,41.54,2,23
2966058,16000,2605,1,15
3125112,120,33.16,2,64
3142441,100,11.73,2,12
3179323,50,5.07,1,5
3216260,50,9.09,1,18
3235900,50,7.04,1,5
3274848,300,47.25,1,25
3463054,50,10,1,5
3474625,25,4,1,1
3491546,100,18.67,1,5
3550202,50,3.05,1,1
3636216,200,20.63,1,32
3636849,50,7.18,1,8
3640747,126,29.99,2,139
3653881,50,11.17,1,16
3776903,500,70.56,1,21
3828477,150,23,1,2
3832700,50,96.89,2,13
3837136,23724,5419.29,1,62
3845521,100,6.98,1,42
3848144,100,27.14,2,39
3854593,50,41.55,2,115
3960080,100,18.03,1,16
3967968,100,47.3,1,19
3968014,100,50.8,1,16
3982105,50,10,1,8
3995044,100,2.07,1,5
